model_size,seq_len,pack_or_pad,gbs,mbs,dp,tp,pp,mean_except_first,stddev_except_first,exit_reason,mean,stddev,values
7,8,pad,512,1,4,1,4,31298.633,272.887,success,31388.700,374.204,"[32199.3,31170.4,31099.2,31175.0,31079.9,31680.6,31666.4,31694.1,31046.5,31075.6]"
7,8,pad,512,2,4,2,2,34007.978,1343.590,success,33991.630,1275.585,"[33844.5,33493.8,35246.3,32465.2,35119.6,32395.2,33749.5,35665.8,32322.9,35613.5]"
7,8,pad,512,1,4,2,2,37240.012,938.159,timeout:timeout,37125.611,941.833,"[36210.4,36126.6,38411.8,37437.2,37348.6,35487.1,38363.9,37430.7,37314.2]"
7,8,pad,512,2,2,8,1,51024.600,219.194,timeout,51159.583,362.134,"[51834.5,50944.0,50896.4,51461.8,50916.4,50904.4]"
7,8,pad,512,1,2,8,1,57741.960,222.261,timeout,57839.100,297.233,"[58324.8,57917.5,57894.9,57551.7,57944.0,57401.7]"
7,8,pad,512,1,2,1,8,34875.011,298.628,success,34936.870,338.673,"[35493.6,34831.4,34777.0,34851.2,35708.4,34769.2,34722.1,34798.7,34699.2,34717.9]"
7,8,pad,512,2,2,4,2,39576.114,478.230,timeout,39644.050,482.102,"[40119.6,39752.8,39490.3,40167.0,39480.7,38565.8,40004.3,39571.9]"
7,8,pad,512,1,2,4,2,44997.267,767.024,timeout,45066.729,730.225,"[45483.5,45647.8,44186.3,45238.6,45607.6,43708.4,45594.9]"
7,8,pad,512,2,2,2,4,34387.922,274.233,success,34490.640,403.289,"[35415.1,34346.6,34280.3,34324.1,34809.4,34815.6,34610.8,34141.9,34062.8,34099.8]"
7,8,pad,512,1,2,2,4,35509.925,152.885,timeout:timeout,35628.111,364.033,"[36573.6,35500.9,35445.3,35485.4,35905.0,35415.8,35418.7,35490.5,35417.8]"
7,8,pad,512,4,1,16,1,75373.867,196.803,timeout,75527.225,315.603,"[75987.3,75194.7,75647.9,75279.0]"
7,8,pad,512,2,1,16,1,83916.100,38.115,timeout,84022.325,186.925,"[84341.0,83970.0,83888.7,83889.6]"
7,8,pad,512,1,1,16,1,103626.650,4.650,timeout,103984.067,505.478,"[104698.9,103622.0,103631.3]"
7,8,pad,512,1,1,1,16,41871.714,149.039,timeout,41936.175,220.278,"[42387.4,41790.3,41783.0,41869.0,41780.7,41782.9,42225.0,41871.1]"
7,8,pad,512,4,1,8,2,50008.883,197.697,timeout,50154.443,400.782,"[51027.8,49949.1,49896.6,50449.5,49910.5,49927.1,49920.5]"
7,8,pad,512,2,1,8,2,54061.540,349.293,timeout,54237.767,506.903,"[55118.9,54353.1,53930.0,54068.0,54475.2,53481.4]"
7,8,pad,512,1,1,8,2,61949.350,614.193,timeout,62194.740,736.649,"[63176.3,61316.0,61753.3,62966.3,61761.8]"
7,8,pad,512,2,1,2,8,37864.337,104.929,timeout,37979.411,340.180,"[38900.0,37986.2,37819.8,37765.2,37703.4,37791.7,37914.1,38024.7,37909.6]"
7,8,pad,512,1,1,2,8,39402.400,197.026,timeout,39497.267,326.349,"[40256.2,39370.3,39260.9,39344.0,39739.3,39240.6,39726.9,39320.1,39217.1]"
7,8,pad,512,2,1,4,4,40362.243,201.747,timeout,40506.463,425.687,"[41516.0,40241.9,40192.2,40265.2,40687.9,40666.9,40197.6,40284.0]"
7,8,pad,512,1,1,4,4,43483.029,245.252,timeout,43633.212,458.821,"[44684.5,43888.2,43306.1,43434.5,43835.2,43342.5,43249.5,43325.2]"
